frame_index,timestamp,hash
81,2.7,bb9fc8cc1c3213a9
82,2.74,bb9fc8cc1c329329
83,2.77,bb9fc8cc1c329329
84,2.8,bb9fc8cc1c361329
85,2.84,bb9fc8cc1c361329
86,2.87,bb9fc8cc1e361129
87,2.9,bb9fc8cc1e361129
88,2.94,bb9fc8cc1e361321
89,2.97,bb9fc8cc1e360329
90,3.0,bb9fc8cc1e360329
91,3.04,bb9fc8cc16360369
92,3.07,bb9fc8cc14364369
93,3.1,bb9fc8cc14364369
94,3.14,bb9fc8cc14364369
95,3.17,ba9fc9cc14364369
96,3.2,ba9fc9cc14364369
97,3.24,ba9fc9cc14364369
98,3.27,ba9fc9cc14364369
99,3.3,ba9fc9cc14364369
100,3.34,ba9fc9cc14364369
101,3.37,b29fc9cc14365369
102,3.4,b29fc9cc14365369
103,3.44,b29fc9cc14365369
104,3.47,b29fc9cc1436c369
105,3.5,b39fc9cc1436c361
106,3.54,b79fc8cc1436c361
107,3.57,b79fc8cc1436c361
108,3.6,b79fc8cc1436c361
109,3.64,b79fc8cc14365361
110,3.67,b79fc8c81436d361
111,3.7,b79fc8c81436d361
112,3.74,979fc8c81436db61
113,3.77,979fc8c81436eb61
114,3.8,979fc8c81436eb61
115,3.84,979fc8c81436db61
116,3.87,b79fc8c81436d361
117,3.9,b79fc8c81436d361
118,3.94,b39fc8c81436db61
119,3.97,b39fc8c81436db61
120,4.0,b39fc8c81436db61
121,4.04,b39fccc81036db61
122,4.07,b39fccc81036db61
123,4.1,b39fccc81036db61
124,4.14,b39fccc81036db61
125,4.17,b39fccc81036db61
126,4.2,b39fccc81036db61
127,4.24,b39fccc81036db61
128,4.27,b39fccc81036db61
129,4.3,b39fccc81036db61
130,4.34,b39fccc81036db61
131,4.37,b39fccc81036db61
132,4.4,b39fccc81036db61
133,4.44,b39fccc81036db61
134,4.47,b19fcccc1036db61
135,4.5,b19fcccc1036db61
136,4.54,b19fcccc1036db61
137,4.57,b19dcccc1036db63
138,4.6,b19dcccc1036db63
139,4.64,b19dcccc1036db63
140,4.67,b19dcccc1036db63
141,4.7,b19fcccc1034db63
142,4.74,b19dcccc1034df63
143,4.77,b19dccce0034df63
144,4.8,b19dccce0034df63
145,4.84,b19bccce0034df63
146,4.87,b19bccce0034df63
147,4.9,b39bccce0038db63
148,4.94,b39bccce0038db63
149,4.97,b39fccce0038d963
150,5.0,b39fccce0038d963
151,5.04,b39fccce0038d963
152,5.07,b39fccce0038d963
153,5.11,b39bccce0238d963
154,5.14,b39bccce0238d963
155,5.17,b39bccce0238d963
156,5.21,b39bccce0238d963
157,5.24,b39bcccc023ad963
158,5.27,b39bcccc023ad963
159,5.31,b39bcccc063ad961
160,5.34,b39bcccc063ad961
161,5.37,b39bc8cc263ad961
162,5.41,b39bc8cc263ad961
163,5.44,b39bc8cc263ad961
164,5.47,b39bc8cc263ad961
165,5.51,b39bc8cc263ad961
166,5.54,b39bc8cc263ad961
167,5.57,b39bc8cc263ad961
168,5.61,b39fc8cc2632d961
169,5.64,b79bd8cc26329961
170,5.67,b79bd8cc26329961
171,5.71,b79bd8cc26329961
172,5.74,b79bd8cc24329969
173,5.77,b79bd8cc24329969
174,5.81,b79bd8cc24329969
175,5.84,b79bd8cc24329969
176,5.87,b79bd8cc24329969
177,5.91,b79bd8cc24329969
178,5.94,b79bd8cc24329969
179,5.97,b79bd8cc24329969
180,6.01,b79ad8cc24369969
181,6.04,b79ad8cc24369969
182,6.07,b79ed8cc24369169
183,6.11,b79fd8cc24369069
184,6.14,b79fd8cc24369069
185,6.17,b79fd8c82436906b
186,6.21,b79fd8c82434926b
187,6.24,bf9dd8c86434906b
188,6.27,bf9dd8c86434906b
189,6.31,bf9fd8c86434904b
190,6.34,bf9dd8c86c34904b
191,6.37,bf9dd0ca6c34904b
192,6.41,bf9dd0ca6c34904b
193,6.44,bf9dd0ca6c34904b
194,6.47,bf9dd0ca6c34904b
195,6.51,bf9dd0ca6c34904b
196,6.54,bf9dd0ca6c35904a
197,6.57,bf9dd0ca6c35904a
198,6.61,bf9dd0ca6c35904a
199,6.64,bf9dd0ca6c35904a
200,6.67,bb9dd0ca6e35904a
