frame_index,timestamp,hash
321,13.39,ad4992966d699696
322,13.43,ad6992926d699696
323,13.47,ec6992926d6d9692
324,13.51,ec4993926d6d9692
325,13.56,ec6193926d6d9692
326,13.6,ec6193926d6d9692
327,13.64,ec6193926d6d9692
328,13.68,ec6193926d6d9692
329,13.72,ec6993926d699692
330,13.76,ec6993926d699692
331,13.81,ec6993926d699692
332,13.85,ec6993926d699692
333,13.89,ec6993926d699692
334,13.93,ec6993926d699692
335,13.97,ec6992966d699692
336,14.01,ec6992966d699692
337,14.06,ec6992966d699692
338,14.1,ec6992966d699692
339,14.14,ec6992966d699692
340,14.18,ec6992966d699692
341,14.22,ec6992966d699692
342,14.26,ec6992966d699692
343,14.31,ec6992966d699692
344,14.35,ec6992966d699692
345,14.39,ec6992966d699692
346,14.43,ec6992966d699692
347,14.47,ec6992966d699692
348,14.51,ec6992966d699692
349,14.56,ec6992966d699692
350,14.6,ec6992966d699692
351,14.64,ec6992966d699692
352,14.68,ec6992966d699692
353,14.72,ec6992966d699692
354,14.76,ec6992966d699692
355,14.81,ec6992966d699692
356,14.85,ec6992966d699692
357,14.89,ec6992966d699692
358,14.93,ec6992966d699692
359,14.97,ec6992966d699692
360,15.01,ec6992966d699692
361,15.06,ec6992966d699692
362,15.1,ec6992966d699692
363,15.14,ec6992966d699692
364,15.18,ec6992966d699692
365,15.22,ec6992966d699692
366,15.27,ec6992966d699692
367,15.31,ec6992966d699692
368,15.35,ec6992966d699692
369,15.39,ec6992966d699692
370,15.43,ec6992966d699692
371,15.47,ec6992966d699692
372,15.52,ec6992966d699692
373,15.56,ec6992966d699692
374,15.6,ec6992966d699692
375,15.64,ec6992966d699692
376,15.68,ec6992966d699692
377,15.72,ec6992966d699692
378,15.77,ec6992966d699692
379,15.81,ec6992966d699692
380,15.85,ec6992966d699692
381,15.89,ec6992966d699692
382,15.93,82d12d8ba36ccfcc
383,15.97,82d13d8ba36ccdcc
384,16.02,82d13d8bab4ccdcc
385,16.06,82d13d8bb34ccdcc
386,16.1,82d33d8ba34ccdcc
387,16.14,82d33d8ba34ccdcc
388,16.18,82d32d8bb34ccdcc
389,16.22,82d32d8bb34ccdcc
390,16.27,82d32d8bb34ccdcc
391,16.31,82d32d8bb34ccdcc
392,16.35,82d32d8bb34ccdcc
393,16.39,82d32d8bb34ccdcc
394,16.43,82d32d8bb34ccdcc
395,16.47,82d32d8bb34ccdcc
396,16.52,82d32d8bb34ccdcc
397,16.56,82d32d8bb34ccdcc
398,16.6,82d32d8bb34ccdcc
399,16.64,82d32d8bb34ccdcc
400,16.68,82d12d8bb34ccfcc
401,16.73,82d12d8bb34ccfcc
402,16.77,82d12d8bb34ccfcc
403,16.81,82d12d8bb34ccfcc
404,16.85,82d12d8bb34ccfcc
405,16.89,82d12d8bb34ccfcc
406,16.93,82d12d8bb36ccdcc
407,16.98,82d12d8ba36ccfcc
408,17.02,82d12d8bb36ccdcc
409,17.06,82d12d8bb36ccdcc
410,17.1,82d12d8bb36ccdcc
411,17.14,82d12d8bb36ccdcc
412,17.18,82d12d8bbb4ccdcc
413,17.23,82d12d8bbb4ccdcc
414,17.27,82d12d8bb34ccfcc
415,17.31,82d12d8bb34ccfcc
416,17.35,82d12d8bb34ccfcc
417,17.39,82d12d8bb34ccfcc
418,17.43,82d12d8bb34ccfcc
419,17.48,82d12d8bb34ccfcc
420,17.52,82d12d8ba36ccfcc
421,17.56,82d12d8bb36c4fcc
422,17.6,82d12d8bb36c4fcc
423,17.64,82d12d8bb36c4fcc
424,17.68,82d12d8bb36c4fcc
425,17.73,82d12d8bb36c4fcc
426,17.77,82d12d8bb36c4fcc
427,17.81,82d12d8bb36c4fcc
428,17.85,82d12d8bb36c4fcc
429,17.89,82d12d8ba36ccfcc
430,17.93,82d12d8ba36ccfcc
431,17.98,82d12d8ba36ccfcc
432,18.02,82d12d8bb34ccfcc
433,18.06,82d12d8bb34ccfcc
434,18.1,82d12d8bb34ccfcc
435,18.14,82d12d8bb34ccfcc
436,18.18,82d12d8bb34ccfcc
437,18.23,82d12d8bb34ccfcc
438,18.27,82d12d8bb34ccfcc
439,18.31,82d12d8bb34ccfcc
440,18.35,82d12d8bb34ccfcc
441,18.39,82d12d8bb34ccfcc
442,18.44,82d12d8bb34ccfcc
443,18.48,82d12d8bb34ccfcc
444,18.52,82d12d8bb34ccfcc
445,18.56,82d12d8bb34ccfcc
446,18.6,82d12d8bb34ccfcc
447,18.64,82d12d8bb34ccfcc
448,18.69,82d12d8bb34ccfcc
